id,title,login_require,overview,vote_average,adult,backdrop_path,movie_id,original_language,original_title,popularity,poster_path,release_date,video,vote_count,status,trailer_url
85,The Super Mario Bros. Movie,0,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",7.664,0,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,502356,en,The Super Mario Bros. Movie,266.66,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,2023-04-05,0,8752,1,https://www.youtube.com/watch?v=RjNcTBXTk4I
86,The Hunted,0,"After their boat capsizes in the Mediterranean Sea, a group of refugees are rescued by rich Europeans who offer them shelter on an idyllic island. But the miracle soon becomes a nightmare when the saviors turn into ruthless manhunters.",7.104,0,/fw7NiOxIHq1FWGQCpSW5ZJcbGZR.jpg,1026819,en,The Hunted,243.725,/zgx7I0JfmHbGcbveNk4EK3jFuMk.jpg,2024-01-18,0,53,1,
87,May the 12th Be with You,0,"It's Mother's Day and Marge Simpson joins the moms of Disney+ on a special holiday outing that turns into an epic galactic adventure filled with heroes, villains, and Stewie from Family Guy.",5.684,0,/7IgL9NzlXSSHXyYoZHXVJEKQhkg.jpg,1284004,en,May the 12th Be with You,247.432,/sHJ2OIgpcpSmhqXkuSWxZ3nwg1S.jpg,2024-05-09,0,38,1,
88,The Infallibles,0,"When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?",5.943,0,/yHEFwHkU2NqRxBrAoGBfuhuqIL1.jpg,1143019,fr,Les Infaillibles,252.413,/7PoIAvL3Io5v0HyBliXfXZruQTi.jpg,2024-06-20,0,70,1,
89,Oppenheimer,0,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,8.1,0,/nb3xI8XI3w4pMVZ38VijbsyBqP4.jpg,872585,en,Oppenheimer,279.251,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,0,8684,1,https://www.youtube.com/watch?v=qiuSBWVdgLI
90,Space Cadet,0,"Tiffany ""Rex"" Simpson has always dreamed of going to space, and her ""doctored"" application lands her in NASA's ultra-competitive astronaut training program. In over her head, can this Florida girl rely on her quick wits, moxie and determination to get through training and into the cosmos before she blows her cover?",5.268,0,/jiGoKuVsKzF3isEY1MEDR90Eh1l.jpg,1019411,en,Space Cadet,266.749,/7rda0SRuIGA8BDC8FTYHAOyXaRj.jpg,2024-07-04,0,157,1,https://www.youtube.com/watch?v=6wL3evhiN5k
91,Trap,0,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",6.4,0,/iAlsYg6dlv1fvOBypM7SldIS1Wl.jpg,1032823,en,Trap,258.997,/mWV2fNBkSTW67dIotVTXDYZhNBj.jpg,2024-07-31,0,62,1,https://www.youtube.com/watch?v=mps1HbpECIA
92,No Way Up,0,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,6.428,0,/4woSOUD0equAYzvwhWBHIJDCM88.jpg,1096197,en,No Way Up,258.795,/hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg,2024-01-18,0,858,1,https://www.youtube.com/watch?v=e1k1PC0TtmE
93,Thor,0,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",6.77,0,/cDJ61O1STtbWNBwefuqVrRe3d7l.jpg,10195,en,Thor,254.865,/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,2011-04-21,0,20826,1,https://www.youtube.com/watch?v=uHBnrJowBZE
94,Wonka,0,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",7.16,0,/yyFc8Iclt2jxPmLztbP617xXllT.jpg,787699,en,Wonka,254.783,/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,2023-12-06,0,3242,1,https://www.youtube.com/watch?v=wYmtRhKvmVE
